R8.5 Name,R9 Name
PEI_CPU_IO_PPI_MEM_WRITE64,EFI_PEI_CPU_IO_PPI_MEM_WRITE64
PEI_END_OF_PEI_PHASE_PPI_GUID,EFI_PEI_END_OF_PEI_PHASE_PPI_GUID
PEI_MASTER_BOOT_MODE_PEIM_PPI,EFI_PEI_MASTER_BOOT_MODE_PEIM_PPI
PEI_PERMANENT_MEMORY_INSTALLED_PPI_GUID,EFI_PEI_PERMANENT_MEMORY_INSTALLED_PPI_GUID
PEI_PCI_CFG_PPI,EFI_PEI_PCI_CFG_PPI
PEI_PCI_CFG_PPI_WIDTH,EFI_PEI_PCI_CFG_PPI_WIDTH
PEI_PCI_CFG_PPI_PCI_ADDRESS,EFI_PEI_PCI_CFG_PPI_PCI_ADDRESS
PEI_PCI_CFG_PPI_IO,EFI_PEI_PCI_CFG_PPI_IO
PEI_PCI_CFG_PPI_RW,EFI_PEI_PCI_CFG_PPI_RW
PEI_READ_ONLY_VARIABLE_ACCESS_PPI_GUID,EFI_PEI_READ_ONLY_VARIABLE_ACCESS_PPI_GUID
PEI_READ_ONLY_VARIABLE_PPI,EFI_PEI_READ_ONLY_VARIABLE_PPI
PEI_GET_VARIABLE,EFI_PEI_GET_VARIABLE
PEI_GET_NEXT_VARIABLE_NAME,EFI_PEI_GET_NEXT_VARIABLE_NAME
PEI_RECOVERY_MODULE_INTERFACE_PPI,EFI_PEI_RECOVERY_MODULE_PPI_GUID
PEI_RECOVERY_MODULE_INTERFACE,EFI_PEI_RECOVERY_MODULE_PPI
PEI_LOAD_RECOVERY_CAPSULE,EFI_PEI_LOAD_RECOVERY_CAPSULE
PEI_RESET_PPI_GUID,EFI_PEI_RESET_PPI_GUID
PEI_RESET_PPI,EFI_PEI_RESET_PPI
PEI_S3_RESUME_PPI_GUID,EFI_PEI_S3_RESUME_PPI_GUID
PEI_S3_RESUME_PPI,EFI_PEI_S3_RESUME_PPI
PEI_S3_RESUME_PPI_RESTORE_CONFIG,EFI_PEI_S3_RESUME_PPI_RESTORE_CONFIG
SEC_PLATFORM_INFORMATION_RECORD,EFI_SEC_PLATFORM_INFORMATION_RECORD
SEC_PLATFORM_INFORMATION,EFI_SEC_PLATFORM_INFORMATION
PEI_SECURITY_PPI_GUID,EFI_PEI_SECURITY_PPI_GUID
PEI_SECURITY_PPI,EFI_PEI_SECURITY_PPI
PEI_SECURITY_AUTHENTICATION_STATE,EFI_PEI_SECURITY_AUTHENTICATION_STATE
PEI_STALL_PPI_GUID,EFI_PEI_STALL_PPI_GUID
PEI_STALL_PPI,EFI_PEI_STALL_PPI
PEI_STALL,EFI_PEI_STALL
GLYPH_NON_SPACING,EFI_GLYPH_NON_SPACING
GLYPH_NON_BREAKING,EFI_GLYPH_WIDE
SCREEN_DESCRIPTOR,EFI_SCREEN_DESCRIPTOR
EFI_IFR_CHECK_BOX,EFI_IFR_CHECKBOX
EFI_IFR_GRAYOUT,EFI_IFR_GRAY_OUT
EFI_IFR_END_IF,EFI_IFR_END_EXPR
EFI_STRING_TOKEN,STRING_REF
EFI_MEMORY_ARRAY_START_ADDRESS,EFI_MEMORY_ARRAY_START_ADDRESS_DATA
EFI_MEMORY_DEVICE_START_ADDRESS,EFI_MEMORY_DEVICE_START_ADDRESS_DATA
EFI_MISC_LAST_PCI_BUS,EFI_MISC_LAST_PCI_BUS_DATA
EFI_MISC_BIOS_VENDOR,EFI_MISC_BIOS_VENDOR_DATA
EFI_MISC_SYSTEM_MANUFACTURER,EFI_MISC_SYSTEM_MANUFACTURER_DATA
EFI_MISC_BASE_BOARD_MANUFACTURER,EFI_MISC_BASE_BOARD_MANUFACTURER_DATA
EFI_MISC_CHASSIS_MANUFACTURER,EFI_MISC_CHASSIS_MANUFACTURER_DATA
EFI_MISC_PORT_INTERNAL_CONNECTOR_DESIGNATOR,EFI_MISC_PORT_INTERNAL_CONNECTOR_DESIGNATOR_DATA
EFI_MISC_SYSTEM_SLOT_DESIGNATION,EFI_MISC_SYSTEM_SLOT_DESIGNATION_DATA
EFI_MISC_ONBOARD_DEVICE,EFI_MISC_ONBOARD_DEVICE_DATA
EFI_MISC_ONBOARD_DEVICE_TYPE_DATA,EFI_MISC_PORTING_DEVICE_TYPE_DATA
EFI_MISC_OEM_STRING,EFI_MISC_OEM_STRING_DATA
EFI_MISC_SYSTEM_OPTION_STRING,EFI_MISC_SYSTEM_OPTION_STRING_DATA
EFI_MISC_NUMBER_OF_INSTALLABLE_LANGUAGES,EFI_MISC_NUMBER_OF_INSTALLABLE_LANGUAGES_DATA
EFI_MISC_SYSTEM_LANGUAGE_STRING,EFI_MISC_SYSTEM_LANGUAGE_STRING_DATA
EFI_MISC_BIS_ENTRY_POINT,EFI_MISC_BIS_ENTRY_POINT_DATA
EFI_MISC_BOOT_INFORMATION_STATUS,EFI_MISC_BOOT_INFORMATION_STATUS_DATA
EFI_MISC_SYSTEM_POWER_SUPPLY,EFI_MISC_SYSTEM_POWER_SUPPLY_DATA
EFI_MISC_SMBIOS_STRUCT_ENCAPSULATION,EFI_MISC_SMBIOS_STRUCT_ENCAPSULATION_DATA
EFI_EXP_DATA,EFI_EXP_BASE10_DATA
PEI_SMBUS_PPI_GUID,EFI_PEI_SMBUS_PPI_GUID
PEI_SMBUS_PPI,EFI_PEI_SMBUS_PPI
PEI_SMBUS_PPI_EXECUTE_OPERATION,EFI_PEI_SMBUS_PPI_EXECUTE_OPERATION
PEI_SMBUS_NOTIFY_FUNCTION,EFI_PEI_SMBUS_NOTIFY_FUNCTION
PEI_SMBUS_PPI_ARP_DEVICE,EFI_PEI_SMBUS_PPI_ARP_DEVICE
PEI_SMBUS_PPI_GET_ARP_MAP,EFI_PEI_SMBUS_PPI_GET_ARP_MAP
PEI_SMBUS_PPI_NOTIFY,EFI_PEI_SMBUS_PPI_NOTIFY
PEI_BOOT_SCRIPT_EXECUTER_PPI_GUID,EFI_PEI_BOOT_SCRIPT_EXECUTER_PPI_GUID
PEI_BOOT_SCRIPT_EXECUTE,EFI_PEI_BOOT_SCRIPT_EXECUTE
PEI_BOOT_SCRIPT_EXECUTER_PPI,EFI_PEI_BOOT_SCRIPT_EXECUTER_PPI
EFI_TO_LEGACY16_INIT_TABLE,EFI_TO_COMPATIBILITY16_INIT_TABLE
DISPATCH_OPROM_TABLE,EFI_DISPATCH_OPROM_TABLE
EFI_STATUS_CODE_ARCH_PROTOCOL,EFI_STATUS_CODE_PROTOCOL
DXE_REPORT_STATUS_CODE,EFI_REPORT_STATUS_CODE
EFI_FIND_FV_PPI_GUID,EFI_PEI_FIND_FV_PPI_GUID
EFI_FIND_FV_FINDFV,EFI_PEI_FIND_FV_FINDFV
EFI_FIND_FV_PPI,EFI_PEI_FIND_FV_PPI
PEI_BLOCK_IO_PPI_GUID,EFI_PEI_VIRTUAL_BLOCK_IO_PPI
PEI_RECOVERY_BLOCK_IO_INTERFACE,EFI_PEI_RECOVERY_BLOCK_IO_PPI
PEI_LBA,EFI_PEI_LBA
PEI_BLOCK_IO_MEDIA,EFI_PEI_BLOCK_IO_MEDIA
PEI_BLOCK_DEVICE_TYPE,EFI_PEI_BLOCK_DEVICE_TYPE
PEI_GET_NUMBER_BLOCK_DEVICES,EFI_PEI_GET_NUMBER_BLOCK_DEVICES
PEI_GET_DEVICE_MEDIA_INFORMATION,EFI_PEI_GET_DEVICE_MEDIA_INFORMATION
PEI_READ_BLOCKS,EFI_PEI_READ_BLOCKS
PEI_DEVICE_RECOVERY_MODULE_INTERFACE_PPI,EFI_PEI_DEVICE_RECOVERY_MODULE_PPI_GUID
PEI_DEVICE_RECOVERY_MODULE_INTERFACE,EFI_PEI_DEVICE_RECOVERY_MODULE_PPI
PEI_DEVICE_GET_NUMBER_RECOVERY_CAPSULE,EFI_PEI_DEVICE_GET_NUMBER_RECOVERY_CAPSULE
PEI_DEVICE_GET_RECOVERY_CAPSULE_INFO,EFI_PEI_DEVICE_GET_RECOVERY_CAPSULE_INFO
PEI_DEVICE_LOAD_RECOVERY_CAPSULE,EFI_PEI_DEVICE_LOAD_RECOVERY_CAPSULE
PeiCpuIoWidthUint8,EfiPeiCpuIoWidthUint8
PeiCpuIoWidthUint16,EfiPeiCpuIoWidthUint16
PeiCpuIoWidthUint32,EfiPeiCpuIoWidthUint32
PeiCpuIoWidthUint64,EfiPeiCpuIoWidthUint64
PeiCpuIoWidthFifoUint8,EfiPeiCpuIoWidthFifoUint8
PeiCpuIoWidthFifoUint16,EfiPeiCpuIoWidthFifoUint16
PeiCpuIoWidthFifoUint32,EfiPeiCpuIoWidthFifoUint32
PeiCpuIoWidthFifoUint64,EfiPeiCpuIoWidthFifoUint64
PeiCpuIoWidthFillUint8,EfiPeiCpuIoWidthFillUint8
PeiCpuIoWidthFillUint16,EfiPeiCpuIoWidthFillUint16
PeiCpuIoWidthFillUint32,EfiPeiCpuIoWidthFillUint32
PeiCpuIoWidthFillUint64,EfiPeiCpuIoWidthFillUint64
PeiCpuIoWidthMaximum,EfiPeiCpuIoWidthMaximum
PeiPciCfgWidthUint8,EfiPeiPciCfgWidthUint8
PeiPciCfgWidthUint16,EfiPeiPciCfgWidthUint16
PeiPciCfgWidthUint32,EfiPeiPciCfgWidthUint32
PeiPciCfgWidthUint64,EfiPeiPciCfgWidthUint64
PeiPciCfgWidthMaximum,EfiPeiPciCfgWidthMaximum
PEI_PCI_CFG_PPI_PCI_ADDRESS,EFI_PEI_PCI_CFG_PPI_PCI_ADDRESS
gCacheSubClassName,gEfiCacheSubClassGuid
gMemoryProducerGuid,gEfiMemoryProducerGuid
gMemorySubClassGuid,gEfiMemorySubClassGuid
gMiscProducerGuid,gEfiMiscProducerGuid
gMiscSubClassGuid,gEfiMiscSubClassGuid
gProcessorProducerGuid,gEfiProcessorProducerGuid
gProcessorSubClassName,gEfiProcessorSubClassGuid
gEfiStatusCodeArchProtocolGuid,gEfiStatusCodeRuntimeProtocolGuid
gPeiFvFileLoaderPpiGuid,gEfiPeiFvFileLoaderPpiGuid
gPeiSectionExtractionPpiGuid,gEfiPeiSectionExtractionPpiGuid
gPeiSecurityPpiGuid,gEfiPeiSecurityPpiGuid
gPeiBootScriptExecuterPpiGuid,gEfiPeiBootScriptExecuterPpiGuid
gPeiSmbusPpiGuid,gEfiPeiSmbusPpiGuid
gPeiBlockIoPpiGuid,gEfiPeiBlockIoPpiGuid
gPeiDeviceRecoveryModulePpiGuid,gEfiPeiDeviceRecoveryModulePpiGuid
gPeiStallPpiGuid,gEfiPeiStallPpiGuid
EfiCopyMem,CopyMem
EfiSetMem,SetMem
EfiZeroMem,ZeroMem
EfiLibInstallDriverBinding,R8_EfiLibInstallDriverBinding
EfiLibInstallAllDriverProtocols,R8_EfiLibInstallAllDriverProtocols
EfiLibCompareLanguage,R8_EfiLibCompareLanguage
EfiDevicePathSize,GetDevicePathSize
